name,alternative-fr,alternative-nl,alternative-de,alternative-en,country-code,longitude,latitude,avg_stop_times
Lierde,,,,,be,3.826564,50.816236,28.73988439
Liers,,,,,be,5.56683,50.698181,74.13294798
Ligny,,,,,be,4.566133,50.511726,20.16184971
Lillois,,,,,be,4.365368,50.645423,48.87283237
Limal,,,,,be,4.575302,50.69214,51.95086705
Linkebeek,,,,,be,4.339434,50.773681,51.32947977
Lissewege,,,,,be,3.194505,51.294714,13.26300578
Lobbes,,,,,be,4.260958,50.346469,20.73410405
Lodelinsart,,,,,be,4.462946,50.432451,20.16184971
Lokeren,,,,,be,3.987794,51.108062,103.9566474
Lommel,,,,,be,5.312031,51.211564,18.5433526
Londerzeel,,,,,be,4.299073,51.009091,36.34104046
Lonzée,,,,,be,4.7201,50.551935,30.82080925
Lot,,,,,be,4.273696,50.766364,49.05491329
Louvain-la-Neuve-Université,,,,,be,4.615745,50.669793,79.94219653
Lustin,,,,,be,4.877241,50.391559,34.16763006
Luttre,,,,,be,4.38412,50.505856,101.9624277
Maffle,,,,,be,3.800117,50.614356,26.03757225
Malderen,,,,,be,4.22911,51.014484,23.02312139
Manage,,,,,be,4.234683,50.506108,51.91618497
Marbehan,,,,,be,5.539755,49.727337,38.19942197
Marche-en-Famenne,,,,,be,5.346289,50.222472,25.34682081
Marche-les-Dames,,,,,be,4.96458,50.480741,24.32080925
Marche-lez-Écaussinnes,,,,,be,4.177098,50.546173,21.55780347
Marchienne-au-Pont,,,,,be,4.394223,50.412171,123.6069364
Marchienne-Zone,,,,,be,4.388767,50.397465,20.73410405
Maria-Aalter,,,,,be,3.38673,51.107612,25.86705202
Mariembourg,,,,,be,4.525691,50.09549,31.23988439
Marloie,,,,,be,5.313892,50.202821,65.36705202
Masnuy-Saint-Pierre,,,,,be,3.962139,50.536546,18.57225434
Maubray,,,,,be,3.495527,50.547557,4.947976879
Mazy,,,,,be,4.675829,50.513497,4.841040462
Mechelen,Malines,,,,be,4.482785,51.017648,306.5231214
Mechelen-Nekkerspoel,Malines-Nekkerspoel,,,,be,4.489914,51.029883,91.37283237
Meiser,,,,,be,4.394421,50.854072,20.7716763
Melkouwen,,,,,be,4.671532,51.094938,29.92196532
Melle,,,,,be,3.797088,51.002807,64.19075145
Melreux-Hotton,,,,,be,5.440136,50.28367,25.34682081
Melsele,,,,,be,4.286766,51.21071,30.43352601
Menen,Menin,,,,be,3.113791,50.799489,22.44508671
Merchtem,,,,,be,4.222718,50.954958,38.58959538
Merelbeke,,,,,be,3.768889,51.017531,64.19075145
Merode,,,,,be,4.398934,50.839284,20.7716763
Méry,,,,,be,5.587236,50.54762,25.43930636
Messancy,,,,,be,5.818915,49.592777,14.51734104
Mevergnies-Attre,,,,,be,3.833917,50.600108,21.67630058
Michelau,,,,,lu,6.09251,49.89644,
Milmort,,,,,be,5.60009,50.692455,74.13294798
Moensberg,,,,,be,4.330733,50.77832,37.74277457
Mouscron,,Moeskroen,,,be,3.228448,50.741005,55.43352601
Mol,,,,,be,5.116336,51.19105,59.75144509
Mollem,,,,,be,4.216965,50.933473,36.13872832
Momalle,,,,,be,5.367602,50.66991,30.34682081
Mons,,Bergen,,,be,3.942542,50.453854,146.6965318
Mont-Saint-Guibert,,,,,be,4.613884,50.637611,31.50867052
Moortsele,,,,,be,3.781339,50.953519,26.70809249
Morlanwelz,,,,,be,4.247367,50.457998,26.02312139
Mortsel,,,,,be,4.448437,51.18296,67.68786127
Mortsel-Deurnesteenweg,,,,,be,4.446514,51.183023,6.829479769
Mortsel-Liersesteenweg,,,,,be,4.468843,51.169027,25.10693642
Mortsel-Oude God,,,,,be,4.455737,51.171256,64.89306358
Moustier,,,,,be,4.693807,50.452748,16.42774566
Muizen,,,,,be,4.513843,51.008201,32.61560694
Munkzwalm,,,,,be,3.733238,50.875673,28.58959538
Namêche,,,,,be,4.997939,50.47043,24.32080925
Namur,,Namen,,,be,4.86222,50.468794,202.1878613
Naninne,,,,,be,4.929756,50.419695,27.20520231
Natoye,,,,,be,5.06116,50.343296,3.624277457
Neerpelt,,,,,be,5.43717,51.222369,18.5433526
Neerwinden,,,,,be,5.036323,50.763964,18.13872832
Nessonvaux,,,,,be,5.741581,50.572089,33.01445087
Neufchâteau,,,,,be,5.452559,49.854318,19.02890173
Neufvilles,,,,,be,4.010672,50.543602,18.57225434
Niel,,,,,be,4.338589,51.111595,15.45086705
Nieuwkerken-Waas,,,,,be,4.185907,51.185612,30.43352601
Nijlen,,,,,be,4.666588,51.15984,29.56936416
Nimy,,,,,be,3.956089,50.471644,25.8583815
Ninove,,,,,be,4.026133,50.839509,29.24566474
Nivelles,,Nijvel,,,be,4.335065,50.599641,96.32947977
Noorderkempen,,,,,be,4.632204,51.356838,26.29768786
Nossegem,,,,,be,4.506112,50.883314,49.15317919
Obaix-Buzet,,,,,be,4.36357,50.535206,21.86416185
Obourg,,,,,be,4.007804,50.469873,21.24277457
Okegem,,,,,be,4.054557,50.857712,26.86416185
Olen,,,,,be,4.847585,51.188057,45.52890173
Oostende,Ostende,,,,be,2.925809,51.228212,59.89595376
Oostkamp,,,,,be,3.257466,51.154114,25.86705202
Opwijk,,,,,be,4.187319,50.974779,38.79190751
Ottignies,,,,,be,4.56936,50.673667,253.4710983
Oud-Heverlee,,,,,be,4.653311,50.835931,49.89595376
Oudegem,,,,,be,4.064472,51.01523,15.07514451
Oudenaarde,Audenarde,,,,be,3.600386,50.850116,82.91618497
Overpelt,,,,,be,5.422751,51.215618,18.5433526
Paliseul,,,,,be,5.118349,49.895408,16.57514451
Papegem,Papignies,Papegem,Papignies,Papignies,be,3.823408,50.686585,27.1416185
Pécrot,,,,,be,4.651486,50.778517,49.89595376
Pepinster,,,,,be,5.80615,50.568179,62.93641618
Pepinster-Cité,,,,,be,5.804397,50.563405,21.78323699
Péruwelz,,,,,be,3.592772,50.513704,31.72543353
Philippeville,,,,,be,4.535956,50.191639,31.23988439
Piéton,,,,,be,4.288438,50.434959,26.02312139
Poix-Saint-Hubert,,,,,be,5.292641,50.019504,18.94219653
Pont-à-Celles,,,,,be,4.355291,50.513812,28.72254335
Pont-de-Seraing,,,,,be,5.510162,50.619651,25.46820809
Poperinge,,,,,be,2.736343,50.854449,22.44508671
Poulseur,,,,,be,5.578858,50.509209,45.97687861
Profondsart,,,,,be,4.549153,50.693758,18.28323699
Pry,,,,,be,4.428805,50.269278,10.28901734
Puurs,,,,,be,4.282703,51.07722,43.31791908
Quaregnon,,,,,be,3.856543,50.449827,58.34104046
Quevy,,,,,be,3.909489,50.341534,22.15606936
Quievrain,,,,,be,3.68608,50.410103,24.67052023
Rebaix,,,,,be,3.793627,50.661235,27.1416185
Remicourt,,,,,be,5.321407,50.678611,30.34682081
Ronse,Renaix,,,,be,3.602552,50.742506,17.48554913
Rhisnes,,,,,be,4.801866,50.499348,30.82080925
Sint-Genesius-Rode,Rhode-Saint-Genèse,,,,be,4.361997,50.74781,51.69653179
Rivage,,,,,be,5.587631,50.483285,45.97687861
Rixensart,,,,,be,4.532855,50.711413,30.73410405
Roeselare,Roulers,,,,be,3.130412,50.949025,35.27456647
Ronet,,,,,be,4.82842,50.457737,16.42774566
Roux,,,,,be,4.393199,50.443112,30.09248555
